

Shortcut,main_window,book_details,import_window,import_detail_window,update_window,preferences_window
Alt+B,Book list focus,Bitrate,Focus import list table,Bitrate,Focus book list,Browse
Alt+U,Update selected,,,,,,
Alt+D,Delete selected,Delete,,Discard,Delete selected,
Alt+L,Cancel selection,Cancel,Close window,Launch Tag,Collection,Cancel
Alt+T,,Title,,Title,,Theme
Alt+A,,Author,,Author,,Author Fallback
Alt+Y,,Year,,Year,,
Alt+F,,Files,Folder field,Files,,Flip Author
Alt+I,,Series,Import Selected,Series,,Title Fallback
Alt+G,,Genre,,Genre,Genre,
Alt+R,,Reader,,Reader,,Reader Keywords,Scenario Description
Alt+C,,Collection,Collection,Collection,Collection,Cancel
Alt+M,,Length,,Length,,
Alt+E,,Read date,Error filter,Errors,,
Alt+Z,,Size,,Size,Zoom (%)
Alt+H,,Path,,Path,Directory,
Alt+O,,Comments,,Comments,Formats,
Alt+N,,New,,,,,,
Alt+S,,Save,Scan,Save,Series,Save
Alt+V,,Save,Import All Valid,,Save,Save
Alt+W,,Browse,Browse,,,Trim whitespace
Alt+X,,Export list to CSV,Export list to CSV,,, 
Ctrl+Plus,Zoom in,Zoom in,Zoom in,Zoom in,Zoom in,Zoom in
Ctrl+Minus,Zoom out,Zoom out,Zoom out,Zoom out,Zoom out,Zoom out
Ctrl+0,Reset zoom,Reset zoom,Reset zoom,Reset zoom,Reset zoom,Reset zoom
F1,Help,Help,Help,Help,Help,Help
Escape,Close,Close,Close,Close,Close,Close
Alt+/,Status bar,Status bar,Status bar,Status bar,Status bar,Status bar
Ctrl+Enter,Open detail,Open detail,Open detail,Open detail,Open detail,Open detail
