Shortcut,backup_restore_window,book_details,collection_window,import_detail_window,import_progress_window,import_window,main_window,name_list_window,preferences_window,update_window
Alt+/,X,X,X,X,X,X,X,X,X,X
Alt+1,,,,,,X,X,,,
Alt+1..Alt+0,,,,,,,X,,,
Alt+2,,,,,,X,X,,,
Alt+3,,,,,,X,,,,
Alt+3-5,,,,,,X,,,,
Alt+4,,,,,,X,,,,
Alt+5,,,,,,X,,,,
Alt+=,X,,,,,,,,,
Alt+A,,X,X,X,X,X,,X,X,
Alt+B,X,X,X,X,X,X,X,X,X,X
Alt+C,X,X,X,X,X,X,X,X,X,X
Alt+D,X,X,X,X,,,X,,X,
Alt+Down,,,,,,,,,,X
Alt+E,,X,X,X,,X,,X,,
Alt+F,X,X,,X,X,X,,X,X,
Alt+G,,X,,X,,,,,,X
Alt+H,,X,,X,,,,,,
Alt+I,,X,,X,X,X,,,X,
Alt+K,,X,,,,,,,X,
Alt+L,X,X,X,X,X,X,X,X,X,X
Alt+M,,X,X,X,X,X,,X,,
Alt+N,,X,X,,,X,,,,
Alt+O,X,X,,X,,,X,,X,
Alt+P,,,,,,X,,,X,
Alt+R,X,X,,X,X,X,X,,X,
Alt+S,,X,X,X,,X,X,X,X,X
Alt+T,X,X,,X,X,X,,,X,
Alt+U,,,,,,,X,,,
Alt+V,,,,,,X,,,X,
Alt+W,,,,,,X,,,X,
Alt+X,,,,,,X,,,,
Alt+Y,,X,,X,,,,,,
Alt+Z,,X,,X,,,,,X,
Ctrl+0,,X,,,,X,X,,,X
Ctrl+Enter,,X,,,,X,X,,,
Ctrl+I,,,,,,,X,,,
Ctrl+Minus,,X,,,,X,X,,,X
Ctrl+N,,,,,,,X,,,
Ctrl+NumMinus,,,,,,,X,,,
Ctrl+NumPlus,,,,,,,X,,,
Ctrl+Plus,,X,,,,X,X,,,X
Ctrl+Q,,,,,,,X,,,
Escape,X,X,,X,X,X,X,,,X
F1,X,X,X,X,X,X,X,X,X,X
