Row,Title,Author,Error
2,Fairy Tale,Stephen king,Book not found in database
13,7 Hours To Die,James Patterson,Book not found in database
34,Skeleton Crew,Stephen king,Book not found in database
41,The Institute,Stephen king,Book not found in database
49,True Crime Case History Vol.1-2-3,Jason Neal,Book not found in database
65,Lust killer,Ann Rule,"Invalid date format. Supported examples: YYYY-MM-DD, DD-MM-YY, DD/MM/YYYY"
66,The Outsider,Stephen king,Book not found in database
74,Don't Look  Behind YOU,Ann Rule,Book not found in database
82,Mr. Mercedes,Stephen king,Book not found in database
85,Never Flinch,Stephen king,Book not found in database
92,Finders Keepers,Stephen king,Book not found in database
94,Holly,Stephen king,Book not found in database
104,Heat Lighting,John Sanford,"Invalid date format. Supported examples: YYYY-MM-DD, DD-MM-YY, DD/MM/YYYY"
105,The Revelation,Bentley Little,"Invalid date format. Supported examples: YYYY-MM-DD, DD-MM-YY, DD/MM/YYYY"
117,End Of Watch,Stephen king,Book not found in database
137,Title,Author,"Invalid date format. Supported examples: YYYY-MM-DD, DD-MM-YY, DD/MM/YYYY"
138,Song Of Shadows,John Connolly,Read date is empty
