Author,Title,Year,Error Type,File/Folder
John Sandford,Dead Watch,2006,,E:/test series from folder books\John Sandford\Dead Watch
John Sandford,The Devil's Code,2000,,E:/test series from folder books\John Sandford\Kidd And LuEllen Book\03 - Devil's Code
John Sandford,The Hanged Man's Song,2003,,E:/test series from folder books\John Sandford\Kidd And LuEllen Book\04 - The Hanged Man's Song\CD-01
John Sandford,Rules of Prey,1989,,E:/test series from folder books\John Sandford\Lucas Deavenport Series\1- Rules of Prey
John Sandford,Certain Prey,1999,,E:/test series from folder books\John Sandford\Lucas Deavenport Series\10-Certain Prey
John Sandford,Easy Prey,2000,,E:/test series from folder books\John Sandford\Lucas Deavenport Series\11-Easy Prey
John Sandford,Chosen Prey,2001,,E:/test series from folder books\John Sandford\Lucas Deavenport Series\12-Chosen Prey
John Sandford,Mortal Prey,2002,,E:/test series from folder books\John Sandford\Lucas Deavenport Series\13-Mortal Prey
John Sandford,Naked Prey,2003,,E:/test series from folder books\John Sandford\Lucas Deavenport Series\14-Naked Prey
John Sandford,Hidden Prey,2004,,E:/test series from folder books\John Sandford\Lucas Deavenport Series\15-Hidden Prey
John Sandford,Broken Prey,2005,,E:/test series from folder books\John Sandford\Lucas Deavenport Series\16-Broken Prey
John Sandford,Invisible Prey,2007,,E:/test series from folder books\John Sandford\Lucas Deavenport Series\17-nvisible Prey
John Sandford,Phantom Prey,2008,,E:/test series from folder books\John Sandford\Lucas Deavenport Series\18-Phantom Prey
John Sandford,Wicked Prey,2009,,E:/test series from folder books\John Sandford\Lucas Deavenport Series\19-Wicked Prey
John Sandford,Shadow Prey,1990,,E:/test series from folder books\John Sandford\Lucas Deavenport Series\2-Shadow Prey
John Sandford,Storm Prey,2010,,E:/test series from folder books\John Sandford\Lucas Deavenport Series\20-Storm Prey
John Sandford,Buried Prey,2011,,E:/test series from folder books\John Sandford\Lucas Deavenport Series\21-Buried Prey
John Sandford,Stolen Prey,2012,,E:/test series from folder books\John Sandford\Lucas Deavenport Series\22-Stolen Prey
John Sandford,Silken Prey,2013,,E:/test series from folder books\John Sandford\Lucas Deavenport Series\23 Silken Prey
John Sandford,Field of Prey,2014,,E:/test series from folder books\John Sandford\Lucas Deavenport Series\24-Field of Pray
John Sandford,Gathering Prey,2015,,E:/test series from folder books\John Sandford\Lucas Deavenport Series\25-Gathering Prey
John Sandford,Extreme Prey,2016,,E:/test series from folder books\John Sandford\Lucas Deavenport Series\26-Extreme Prey
John Sandford,Golden Prey,2017,,E:/test series from folder books\John Sandford\Lucas Deavenport Series\27-Golden Prey
