src\database\connection.py:75: unused attribute 'row_factory' (60% confidence)
src\ui\book_list_import_window.py:21: unused class 'DataFrame' (60% confidence)
src\ui\book_list_import_window.py:1163: unused method 'on_headers_toggled' (60% confidence)
src\web\web_book_api.py:102: unused variable 't0' (60% confidence)
src\web\web_book_api.py:107: unused variable 't1' (60% confidence)
src\web\web_book_api.py:148: unused variable 't1' (60% confidence)
src\web\web_book_api.py:155: unused variable 't0' (60% confidence)
src\web\web_book_api.py:160: unused variable 't1' (60% confidence)
src\web\web_book_api.py:169: unused variable 't1' (60% confidence)
src\web\web_book_api.py:175: unused variable 't0' (60% confidence)
src\web\web_book_api.py:178: unused variable 't1' (60% confidence)
src\web\web_book_api.py:187: unused variable 't1' (60% confidence)
